i = 0; circleRadius = 0; xCoordinate = 0;
i = 1; circleRadius = 0; xCoordinate = 0;
i = 2; circleRadius = 0; xCoordinate = 0;
i = 3; circleRadius = 0; xCoordinate = 0;
i = 4; circleRadius = 0; xCoordinate = 0;
i = 5; circleRadius = 0; xCoordinate = 0;
i = 6; circleRadius = 0; xCoordinate = 0;
i = 7; circleRadius = 0; xCoordinate = 0;
i = 8; circleRadius = 0; xCoordinate = 0;
i = 9; circleRadius = 0; xCoordinate = 0;
i = 10; circleRadius = 0; xCoordinate = 0;
i = 11; circleRadius = 0; xCoordinate = 0;
i = 12; circleRadius = 0; xCoordinate = 0;
i = 13; circleRadius = 0; xCoordinate = 0;
i = 14; circleRadius = 0; xCoordinate = 0;

i = 0; circleRadius = 0; xCoordinate = 0;
i = 1; circleRadius = 0; xCoordinate = 0;
i = 2; circleRadius = 0; xCoordinate = 0;
i = 3; circleRadius = 0; xCoordinate = 0;
i = 4; circleRadius = 0; xCoordinate = 0;
i = 5; circleRadius = 0; xCoordinate = 0;
i = 6; circleRadius = 0; xCoordinate = 0;
i = 7; circleRadius = 0; xCoordinate = 0;
i = 8; circleRadius = 0; xCoordinate = 0;
i = 9; circleRadius = 0; xCoordinate = 0;
i = 10; circleRadius = 0; xCoordinate = 0;
i = 11; circleRadius = 0; xCoordinate = 0;
i = 12; circleRadius = 0; xCoordinate = 0;
i = 13; circleRadius = 0; xCoordinate = 0;
i = 14; circleRadius = 0; xCoordinate = 0;

i = 0; circleRadius = 0; xCoordinate = 0;
i = 1; circleRadius = 0; xCoordinate = 0;
i = 2; circleRadius = 0; xCoordinate = 0;
i = 3; circleRadius = 0; xCoordinate = 0;
i = 4; circleRadius = 0; xCoordinate = 0;
i = 5; circleRadius = 0; xCoordinate = 0;
i = 6; circleRadius = 0; xCoordinate = 0;
i = 7; circleRadius = 0; xCoordinate = 0;
i = 8; circleRadius = 0; xCoordinate = 0;
i = 9; circleRadius = 0; xCoordinate = 0;
i = 10; circleRadius = 0; xCoordinate = 0;
i = 11; circleRadius = 0; xCoordinate = 0;
i = 12; circleRadius = 0; xCoordinate = 0;
i = 13; circleRadius = 0; xCoordinate = 0;
i = 14; circleRadius = 0; xCoordinate = 0;

i = 0; circleRadius = 0; xCoordinate = 0;
i = 1; circleRadius = 0; xCoordinate = 0;
i = 2; circleRadius = 0; xCoordinate = 0;
i = 3; circleRadius = 0; xCoordinate = 0;
